listen_id,user_id,track_id,listened_at,completed,source
L00000000,U0044,T009377,2022-08-05 15:58:34,True,app
L00000001,U0386,T009910,2024-12-20 00:45:47,True,web
L00000002,U0327,T007949,2022-02-15 08:16:33,True,web
L00000003,U0219,T004360,2022-11-21 10:42:32,True,app
L00000004,U0216,T005139,2023-09-13 02:34:45,True,widget
L00000005,U0429,T004795,2024-09-25 02:10:34,False,app
L00000006,U0042,T001745,2024-03-15 03:24:10,True,app
L00000007,U0348,T008289,2024-09-11 03:34:45,True,web
L00000008,U0100,T006448,2023-04-30 08:13:41,True,widget
L00000009,U0047,T006100,2024-07-25 06:48:22,False,api
L00000010,U0263,T002270,2022-12-14 08:25:07,True,api
L00000011,U0487,T001731,2022-06-23 14:58:03,False,web
L00000012,U0367,T008434,2024-09-07 02:11:52,False,web
L00000013,U0380,T001955,2023-12-24 10:13:16,False,app
L00000014,U0358,T000896,2022-03-14 18:07:45,False,web
L00000015,U0393,T006034,2023-02-20 23:37:08,True,app
L00000016,U0256,T006592,2022-07-25 16:22:39,True,app
L00000017,U0064,T001406,2023-06-02 17:34:20,True,app
L00000018,U0419,T002126,2024-01-04 00:40:14,True,app
L00000019,U0225,T007590,2022-06-18 18:39:47,True,web
L00000020,U0250,T009180,2024-09-27 04:30:50,True,app
L00000021,U0185,T004594,2024-12-06 01:24:33,False,app
L00000022,U0091,T007590,2023-12-27 22:09:53,True,web
L00000023,U0463,T003150,2022-10-18 19:41:03,True,app
L00000024,U0390,T006535,2022-09-03 10:08:32,True,app
L00000025,U0321,T005241,2024-07-29 01:51:28,False,app
L00000026,U0201,T008057,2023-04-22 11:43:37,False,web
L00000027,U0411,T007353,2022-03-07 23:02:13,False,app
L00000028,U0272,T002719,2023-03-21 13:00:11,True,app
L00000029,U0221,T001731,2024-05-17 14:10:46,True,app
L00000030,U0225,T007775,2023-12-01 14:12:39,True,web
L00000031,U0113,T000556,2024-05-22 12:30:56,True,app
L00000032,U0046,T006448,2024-01-01 05:28:44,False,app
L00000033,U0277,T004594,2022-10-13 17:33:27,True,widget
L00000034,U0443,T000897,2023-09-11 05:55:09,True,app
L00000035,U0031,T006478,2023-09-14 08:33:10,True,widget
L00000036,U0429,T004608,2024-12-12 12:06:11,False,app
L00000037,U0413,T008331,2022-11-22 22:50:11,False,app
L00000038,U0138,T002147,2022-12-23 21:14:03,True,app
L00000039,U0315,T000058,2022-08-19 15:05:12,False,api
L00000040,U0082,T001534,2023-02-24 07:02:22,False,api
