track_id,title,artist_id,album,duration_ms,genre,tags,tempo,energy,danceability,acousticness,valence,instrumentalness,loudness,speechiness,liveness,explicit,release_year,play_count
T000000,The Along,A0619,Universal motivating alliance,119857,Pop,"latin,2000s,a-cappella,60s,road-trip,drums",182.60219,0.33508372,0.43192878,0.2648511,0.4152317,0.6038838,-19.56522,0.10099486,0.052155353,False,2023,100
T000001,Quite of Rather,A0348,Universal modular pricing stru,351578,Folk,"night,underground,2010s,african,70s,morning",198.71378,0.6494993,0.36746594,0.43296653,0.6704111,0.0067346636,-9.787953,0.058917224,0.38439512,False,2008,100
T000002,The Walk,A0686,Public-key stable time-frame,304659,Country,"drums,morning,female-vocal,progressive,synth",85.009155,0.63217914,0.4901534,0.6360804,0.10553186,0.06357905,-10.353435,0.11235971,0.13709347,False,2006,400
T000003,Realize of President,A0564,Virtual coherent infrastructur,133323,Pop,"post-rock,dance,duo,love,psychedelic",69.88056,0.3299341,0.56025964,0.2585086,0.86733526,0.2122863,-26.11265,0.10106399,0.048666243,False,2010,400
T000004,The Light,A0071,Fundamental foreground superst,330660,Reggae,"ambient,art-rock",76.95532,0.5351817,0.7937239,0.25793287,0.59381396,0.3691862,-23.19893,0.0023763545,0.006705573,False,1983,100
T000005,The And,A0778,Adaptive mobile encryption,324068,Folk,"drill,summer,winter",179.35527,0.4427504,0.93583834,0.3445907,0.2256388,0.18320778,-7.9731297,0.22484615,0.054347675,False,1975,100
T000006,Multi-channeled client-driven Local Area,A0611,Mandatory real-time interface,310835,Folk,"60s,90s",196.13002,0.04407704,0.91518724,0.32192406,0.43631765,0.14511402,-26.768276,0.028768912,0.13843384,False,1982,600
T000007,The Us,A0630,Multi-tiered analyzing workfor,416621,Classical,"upbeat,chill,electric,heartbreak,techno",142.80524,0.90873194,0.20047283,0.19792818,0.1268647,0.0845534,-3.1287036,0.019039143,0.10612558,False,1983,1900
T000008,Jennifer's Factor,A0095,Upgradable dynamic definition,149077,Electronic,"a-cappella,trance,experimental,road-trip",192.61642,0.61716455,0.867467,0.17348135,0.12734464,0.3115424,-2.807303,0.041737553,0.32623577,False,1974,200
T000009,The Act,A0355,Open-source dedicated implemen,157068,Electronic,"electric,post-rock,experimental,latin,acoustic",167.75603,0.3420166,0.7042958,0.22482516,0.8000166,0.24286945,-5.3291035,0.22694121,0.034593835,False,1961,400
